Gene 1,Gene 2,Confidence Score
SPU_004723,SPU_020722,0.213925881
SPU_010403,SPU_005718,0.213768692
SPU_011635,SPU_019024,0.213712553
SPU_004148,SPU_009155,0.212871856
SPU_018056,SPU_028030,0.212627063
SPU_027053,SPU_010698_1,0.212490805
SPU_007981,SPU_027053,0.21231518
SPU_003470,SPU_024794,0.212205536
SPU_017106,SPU_005718,0.21205209
SPU_009831,SPU_027053,0.211892544
SPU_005435,SPU_011583,0.211750742
SPU_006991,SPU_027235,0.211686425
SPU_004217,SPU_028030,0.211431512
SPU_003102,SPU_012546,0.210687707
SPU_021172,SPU_003166,0.210489488
SPU_023090,SPU_020722,0.210188556
SPU_023090,SPU_022153,0.209761069
SPU_011189,SPU_017837,0.209422988
SPU_023037,SPU_010698_1,0.209175145
SPU_000424,SPU_027235,0.208974015
SPU_018392,SPU_002874,0.208551518
SPU_001998,SPU_008703,0.208420528
SPU_000424,SPU_003166,0.208081754
SPU_009876,SPU_017106,0.207997615
SPU_003704,SPU_028030,0.207902941
SPU_017837,SPU_018581,0.207365671
SPU_012546,SPU_011583,0.207063907
SPU_018581,SPU_025584,0.206924877
SPU_019002,SPU_027235,0.206793193
SPU_012648_1,SPU_000509,0.206452063
SPU_002874,SPU_017837,0.206388716
SPU_017404,SPU_011583,0.206334656
SPU_011635,SPU_012253,0.205861565
SPU_006917,SPU_017106,0.205739861
SPU_028255,SPU_003166,0.205660297
SPU_004723,SPU_012253,0.205617049
SPU_019332,SPU_009263,0.205557306
SPU_011635,SPU_003102,0.205294354
SPU_009642,SPU_020722,0.204781342
SPU_011189,SPU_012253,0.20443231
SPU_012253,SPU_000668,0.203754901
SPU_022817,SPU_006462,0.203706248
SPU_010351,SPU_017106,0.203623911
SPU_007644,SPU_003704,0.202817451
SPU_015243,SPU_000756,0.202763253
SPU_027214,SPU_004414,0.202603846
SPU_012203,SPU_026418,0.202578896
SPU_011189,SPU_019024,0.202548262
SPU_026465,SPU_017837,0.202409093
SPU_024903,SPU_006462,0.202380261
SPU_006803,SPU_003166,0.202052992
SPU_025584,SPU_014793,0.201675129
SPU_006676,SPU_006814,0.201562019
SPU_012546,SPU_000841,0.201439346
SPU_003470,SPU_014793,0.201006868
SPU_019002,SPU_015374,0.200753065
SPU_007262,SPU_010698_1,0.200376588
SPU_013569,SPU_000668,0.200169775
SPU_010295,SPU_012546,0.200010368
SPU_004414,SPU_008703,0.199833496
SPU_017348,SPU_017106,0.199021908
SPU_002791,SPU_017837,0.198264934
SPU_013015,SPU_004414,0.198075032
SPU_003470,SPU_003704,0.197217701
SPU_011189,SPU_003102,0.196526985
SPU_006421,SPU_000668,0.196186271
SPU_013015,SPU_006814,0.195980983
SPU_002129,SPU_006462,0.195814784
SPU_017635,SPU_011583,0.195801061
SPU_021608,SPU_012253,0.195628902
SPU_015374,SPU_006814,0.195600347
SPU_010295,SPU_012253,0.19522789
SPU_027235,SPU_006462,0.195124345
SPU_009876,SPU_005718,0.195073057
SPU_014793,SPU_010424,0.194829789
SPU_023090,SPU_018680,0.194481589
SPU_012384,SPU_011064,0.194396341
SPU_003470,SPU_009642,0.194374579
SPU_000739,SPU_000756,0.194371391
